Mass	x	y	z	vx	vy	vz
0.24	-0.46	0.28	1.36	-1.11	-0.42	-0.65
0.41	0.34	-0.05	1.37	-0.35	-0.05	-0.77
1.23	0.64	0.15	0.46	-6.47	0.45	-0.08
0.34	0.9	-0.37	-0.32	1.06	0.59	-0.04
0.76	0.06	-0.1	0.92	0.53	-0.35	0.63
0.3	-0.04	0.34	-0.34	-1.54	-0.13	-0.63
0.35	-0.39	-0.16	0.61	0.71	0.6	0.11
0.19	0.55	-0.03	0.56	1.14	0.23	0.17
0.23	0.83	0.29	0.08	1.76	-0.27	0.21
0.17	-0.25	-0.07	1.24	-0.73	-0.32	-0.89
0.17	0.07	-0.38	0.57	0.35	-1.37	0.62
0.27	-0.15	1.2	0.26	-0.87	-0.22	-0.65
0.3	-0.16	1.2	0.27	-0.72	-0.45	-0.38
0.25	-0.09	-0.18	1.32	-0.61	-0.44	-0.68
0.12	0.39	1.26	0.7	-0.65	-0.25	-0.25
0.81	0.77	-0.18	0.29	-0.81	-0.44	-0.24
0.36	0.33	0.24	0.55	1.56	0.9	-0.16
0.19	-0.04	0.15	0.3	1.0	-0.52	1.41
1.32	0.72	0.12	0.99	1.42	1.28	0.94
0.11	0.38	-0.44	-0.25	0.01	-1.66	-1.53
0.16	0.75	1.25	1.94	-0.53	1.02	-0.03
2.38	0.65	1.33	1.03	1.4	0.17	0.62
0.17	-0.12	0.22	1.8	-1.07	-0.42	-0.43
0.17	1.05	-0.07	1.74	-0.54	-0.4	-0.48
0.11	-1.3	2.11	0.05	0.29	0.87	0.61
0.11	0.4	0.51	0.21	0.86	1.2	0.02
0.28	-0.47	-0.09	-0.13	-2.01	0.25	-0.97
0.34	0.11	-0.0	0.54	0.19	0.44	1.38
0.85	0.89	0.11	1.06	1.75	0.04	0.85
0.11	1.14	-0.65	0.53	1.83	-0.39	0.49
0.14	0.6	0.12	0.32	0.53	-0.92	0.03
0.32	-0.06	0.13	1.98	-1.06	-0.51	-0.04
0.13	0.02	0.73	0.96	-0.94	0.03	-0.04
0.36	0.32	0.38	0.68	-1.02	0.17	-1.88
0.44	0.95	0.2	1.55	-0.41	-0.35	-0.64
0.16	0.71	-0.53	0.86	1.56	-0.15	0.24
0.52	-0.16	-0.03	0.46	0.42	-0.51	-0.12
0.13	0.51	0.43	0.92	-0.27	-0.63	-0.02
2.71	0.15	0.23	0.48	-0.34	-0.87	0.4
0.12	0.29	0.23	0.88	-0.09	0.27	-0.1
0.65	0.5	0.29	0.62	1.53	0.46	-0.12
0.2	0.68	1.45	1.69	0.16	1.21	0.06
1.43	1.06	0.32	0.71	1.68	0.51	0.44
0.78	-0.39	-0.53	-1.16	0.36	-0.88	-1.05
0.16	0.28	0.0	0.09	0.53	-0.62	-0.37
0.13	-0.12	0.25	0.57	-1.35	-1.03	-0.01
0.22	0.35	-0.06	1.36	-0.28	-0.35	-0.51
0.19	0.94	0.16	1.56	-0.49	-0.22	-0.73
0.11	0.11	-0.16	0.27	-0.23	-0.85	-0.57
0.15	0.59	-0.14	0.68	1.64	0.99	-0.2
0.31	0.57	0.13	0.49	0.13	0.12	1.85
0.98	0.37	1.03	1.2	1.27	-0.44	0.19
1.05	-0.02	0.33	0.6	-0.86	-0.73	-1.0
0.18	0.08	0.58	0.76	-0.34	-0.7	-1.3
0.19	0.09	-0.94	-0.23	-0.43	0.31	0.82
0.41	2.0	0.38	1.0	0.15	-0.46	-0.85
0.41	0.94	1.3	1.58	0.5	1.03	0.92
0.14	0.8	0.14	0.69	0.56	-1.27	-0.14
0.59	0.48	0.33	0.49	2.15	0.73	0.03
0.44	1.6	-0.4	5.87	2.16	-0.58	4.97
0.26	0.86	-0.04	0.81	1.76	-1.06	0.11
0.13	-0.15	0.28	0.51	0.47	-0.81	-0.42
0.21	0.47	0.34	0.77	0.83	0.45	0.75
0.21	-0.17	1.01	0.85	-0.34	-0.1	-0.55
0.34	1.34	-0.34	1.0	1.22	0.58	0.72
0.11	2.12	0.63	0.08	1.72	0.81	-0.08
0.16	-1.45	5.69	0.01	-0.09	3.11	0.45
0.13	-0.28	0.26	2.59	0.91	0.36	1.28
0.83	-0.85	1.67	1.66	0.5	0.81	1.1
0.2	-0.28	0.14	0.93	0.7	0.71	-0.35
0.16	-0.09	0.58	0.9	-0.38	-0.36	-1.05
0.14	-0.3	0.35	0.53	1.16	-0.33	-0.7
0.13	-0.23	0.19	0.79	0.8	0.8	0.31
0.42	-0.0	-0.13	0.24	-0.3	-0.51	-0.44
0.11	0.31	0.25	2.32	-0.33	-0.16	-0.11
1.85	0.63	0.11	0.45	0.65	-0.59	-0.38
0.18	0.25	-0.14	0.55	1.16	0.74	-0.28
0.23	0.07	0.83	0.76	-0.1	-0.58	-0.71
0.22	0.72	0.15	1.12	-0.88	-0.26	-1.21
0.75	1.14	0.26	-1.08	-0.44	-0.18	-1.46
2.5	0.11	0.51	0.77	0.46	0.24	0.82
1.83	1.2	0.14	0.74	1.95	-0.15	0.57
0.36	0.76	-0.15	0.28	-1.09	-0.47	-0.16
0.12	0.11	-0.42	1.44	1.31	0.31	0.53
0.25	0.29	0.04	-0.07	-0.02	0.24	-0.15
0.18	0.66	0.27	0.43	2.04	-0.01	0.94
0.37	-0.52	0.05	1.26	-1.16	-0.08	-0.7
0.23	0.13	-0.29	1.0	1.45	0.82	0.31
0.36	0.18	0.63	0.46	-0.09	0.77	1.12
0.45	0.06	-0.02	0.21	-0.06	-0.53	-0.37
0.11	0.18	0.36	0.33	0.67	0.67	0.8
0.13	0.44	-0.09	0.58	0.32	-0.18	1.01
0.29	1.44	0.31	0.73	0.74	0.49	-0.08
0.25	0.48	0.28	1.15	1.82	-0.22	0.14
0.38	0.07	-0.41	-0.35	0.24	0.25	0.05
0.85	0.74	0.15	0.31	1.9	-0.99	-0.68
0.22	0.65	-0.02	0.87	1.8	0.12	-0.2
19.94	0.39	0.43	0.75	-0.46	-0.52	-0.39
0.23	0.56	-0.11	1.2	-0.37	0.14	-0.58
0.13	1.0	0.46	1.15	-0.32	-0.64	-1.32
0.87	-0.12	-0.76	-0.13	-0.08	-0.87	1.66
0.6	0.08	0.1	0.69	0.34	0.09	-1.74
0.32	0.64	0.48	0.92	0.69	-0.37	0.59
0.12	0.78	-0.26	0.46	0.7	-0.9	0.96
0.16	0.34	0.3	0.6	-0.26	-0.0	0.04
0.1	0.09	0.25	-0.19	0.35	-0.33	-0.79
0.81	1.75	0.61	-1.58	0.41	-0.15	-1.57
0.14	1.14	0.22	0.93	0.36	0.03	0.09
0.14	0.71	0.33	1.21	-0.59	0.18	-0.69
0.28	0.38	-0.14	0.64	1.37	-0.76	0.98
0.23	1.19	-0.52	0.79	1.1	0.08	0.41
1.09	1.49	-0.42	1.01	1.74	0.03	0.52
0.19	0.43	0.12	1.19	-0.22	-0.43	-1.55
0.75	-0.28	0.42	0.19	0.53	-1.14	0.36
0.53	0.69	0.16	0.99	1.46	0.51	0.77
0.19	-0.12	-0.76	-0.12	-0.31	-0.84	2.88
0.75	0.11	0.48	0.59	-1.42	-0.18	-0.66
0.24	-1.07	-0.24	1.5	-0.74	-0.44	-0.45
0.12	-0.29	0.47	-0.05	0.25	-0.4	0.91
0.33	0.32	-0.04	1.37	-0.14	-0.13	-0.45
0.76	0.4	0.04	1.23	-0.23	-0.41	-1.36
0.12	0.28	0.6	2.19	1.23	0.3	0.85
1.96	-0.04	0.15	0.3	0.18	-0.75	0.19
0.39	0.76	-0.02	0.54	1.85	0.33	0.09
0.11	0.11	-0.18	0.16	1.01	-0.6	0.28
0.22	0.13	0.31	0.44	0.56	0.68	1.23
