Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.24	0.36	2.25	-0.51	-0.46	-0.28
0.13	0.45	-0.25	0.59	1.64	-0.15	-0.69
0.22	-0.54	0.48	-0.04	0.28	-0.57	-1.19
0.16	-0.26	0.08	-0.1	-0.45	-1.37	-0.17
0.15	-0.51	-0.25	-1.27	0.16	-0.12	-0.36
0.34	0.82	2.09	1.07	-0.18	0.2	-0.59
0.27	-1.61	-0.46	-0.46	-0.22	-0.78	-0.12
0.1	0.16	-0.11	0.67	2.19	-0.89	-0.12
0.27	-0.03	0.22	1.99	-0.91	-0.64	-0.1
0.57	0.18	-0.38	0.2	-0.95	-0.17	-0.23
0.15	-0.11	0.5	1.76	-0.24	-0.43	-0.54
0.11	-0.4	0.59	-0.01	-0.12	-1.07	-0.85
0.29	0.49	0.26	0.71	-1.07	-0.35	-1.42
0.35	0.47	-1.33	1.99	0.42	-0.45	0.47
0.15	0.26	0.25	0.73	0.94	-0.13	-0.38
0.14	0.41	0.06	1.3	-0.4	-0.21	-1.3
0.47	0.66	0.5	0.59	1.73	-0.19	0.66
1.05	-0.36	0.38	-0.01	-0.02	-1.09	-0.34
0.25	-0.23	0.17	1.68	-1.11	-0.82	-0.29
0.33	-0.14	0.07	1.8	-1.14	-0.73	-0.17
0.59	0.28	-0.09	0.68	0.94	-0.04	0.74
0.39	0.2	0.29	0.84	0.6	0.41	0.82
0.39	0.04	0.24	1.75	-1.26	-0.44	-0.27
1.71	-0.28	0.36	0.11	-0.32	-0.08	-0.71
0.1	0.61	0.17	0.22	1.48	-0.28	-0.28
0.18	0.65	0.2	0.71	0.77	1.11	0.85
0.1	0.25	0.33	0.43	0.58	-0.07	1.68
0.52	0.29	0.09	0.98	-0.21	-0.03	-1.37
0.22	-1.23	2.35	0.5	-1.24	1.03	-0.57
0.22	0.45	1.71	1.55	-0.39	0.48	-0.17
0.18	-0.42	-0.73	-0.85	-1.66	0.06	-0.73
0.27	0.03	0.12	0.3	1.78	-0.99	0.93
0.16	-0.35	0.02	1.07	0.66	0.46	0.27
0.17	-0.07	0.23	0.49	-1.14	-0.16	-1.32
0.35	0.75	0.81	1.49	-0.09	-0.42	-1.06
0.7	0.16	1.08	1.44	-0.54	0.15	-0.37
0.8	0.29	-0.02	1.42	-0.1	-0.15	-0.85
0.11	0.03	2.46	1.23	-0.66	1.02	-0.07
1.12	0.16	1.08	1.44	-0.32	-0.14	-0.59
0.3	0.14	-0.13	0.2	0.5	-0.65	0.92
0.18	0.8	0.01	0.28	1.13	-1.28	0.73
0.54	0.3	1.28	1.19	-0.6	-0.09	-0.49
0.16	0.31	1.34	1.98	-0.97	0.8	-0.07
0.18	0.87	-0.23	0.72	1.02	0.01	0.9
0.64	0.99	0.07	1.24	1.85	0.5	0.48
0.4	-0.12	0.64	0.16	0.54	0.22	-0.73
0.37	0.64	-0.08	0.66	1.98	-0.41	0.54
0.17	0.22	-0.01	1.4	-0.53	-0.08	-0.76
0.17	0.52	0.08	0.69	0.27	-1.09	-0.62
0.13	-0.4	0.08	0.1	1.1	-0.94	0.12
0.4	0.26	0.99	0.68	1.72	-0.41	0.2
0.14	0.02	0.07	0.39	0.42	-1.32	-0.11
0.1	0.38	0.07	0.71	-0.25	-0.14	-1.94
0.16	-0.16	-1.76	-0.99	-0.95	-1.69	-1.39
3.01	-0.2	0.11	0.92	0.82	0.71	0.25
0.49	-0.2	0.11	0.9	0.52	0.82	-0.23
0.86	-0.08	0.38	0.67	-0.12	0.64	0.25
2.32	0.72	0.12	0.99	1.91	-0.29	-0.92
0.22	0.29	-0.55	-0.47	-0.16	1.26	-0.69
0.18	0.12	0.53	0.75	0.46	1.56	-0.29
0.28	-0.17	-0.43	-0.16	-1.5	0.59	-0.46
0.18	0.33	0.23	0.11	1.13	-0.65	0.08
0.3	-1.49	0.21	1.65	-0.27	0.66	1.38
0.17	0.66	0.26	1.01	0.67	0.57	0.84
1.17	0.65	-0.22	0.55	1.68	-0.4	0.65
0.18	0.52	0.37	1.13	1.13	0.59	1.37
0.11	0.64	-0.47	0.63	1.21	-0.83	1.52
34.38	0.64	0.15	0.46	1.16	-0.08	0.25
5.3	0.57	0.2	0.44	1.24	-0.05	0.67
0.54	-0.62	0.21	0.3	0.34	-0.75	-1.64
0.58	-0.37	-0.29	0.06	0.15	-1.44	-0.59
0.1	0.64	-0.23	0.83	1.54	-0.5	0.78
0.17	0.97	-0.54	0.87	1.76	-1.36	0.77
