Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	1.15	0.6	1.3	-0.01	0.89	1.12
0.13	-0.87	0.25	-1.11	0.24	0.98	1.23
0.22	1.18	-0.38	0.7	-0.01	1.04	1.08
0.16	1.17	-0.37	0.72	0.13	0.96	0.97
0.15	0.22	-0.7	-0.35	-0.25	0.29	0.84
0.34	0.9	0.65	1.73	0.13	1.95	0.42
0.27	-0.04	0.01	0.07	-0.05	1.16	0.69
0.1	-1.21	1.13	-0.44	0.09	0.6	0.91
0.27	1.29	0.23	0.1	0.15	0.96	1.18
0.57	-0.08	0.0	0.43	0.58	0.63	0.6
0.15	0.84	0.41	1.17	0.03	1.15	0.86
0.11	1.14	-0.45	0.65	0.2	0.72	0.89
0.29	1.13	-0.42	0.66	0.17	0.99	0.92
0.35	-0.16	0.02	-0.05	0.16	1.15	1.11
0.15	0.45	-0.77	-0.25	-0.09	1.09	0.88
0.14	0.82	0.47	1.15	0.16	0.91	0.64
0.47	0.39	-0.54	-0.7	-0.13	0.93	1.16
1.05	1.15	-0.46	0.64	0.07	1.09	1.01
0.25	1.48	0.43	0.39	0.1	0.84	1.03
0.33	1.6	0.39	0.24	0.01	0.85	1.1
0.59	-0.12	0.24	0.53	0.0	0.93	0.65
0.39	0.51	-0.87	-0.44	0.51	1.35	0.21
0.39	1.26	0.22	0.23	0.2	0.7	1.37
1.71	0.25	-0.5	-0.74	1.14	0.51	0.78
0.1	-1.25	-0.3	-0.75	0.46	1.36	0.78
0.18	-1.25	-0.28	-0.76	0.49	1.23	0.84
0.1	0.41	-0.64	-0.62	-0.34	0.57	1.01
0.52	1.45	0.3	0.35	-0.23	0.53	0.98
0.22	1.17	-0.46	0.56	-0.39	0.45	0.99
0.22	1.16	-0.45	0.59	-0.25	0.41	0.96
0.18	-0.11	0.34	0.53	-0.2	0.41	0.55
0.27	-1.32	0.77	-0.59	-0.21	0.43	1.83
0.16	0.36	-0.02	-1.34	-0.41	0.58	1.08
0.17	1.16	-0.21	1.08	1.1	0.57	-0.33
0.35	0.61	0.68	1.99	-0.08	0.5	0.67
0.7	1.16	-0.49	0.51	-0.66	-0.25	0.81
0.8	1.46	0.29	0.44	-0.24	0.55	0.89
0.11	1.16	-0.5	0.52	0.11	0.68	0.16
1.12	1.17	-0.49	0.51	0.08	0.95	1.46
0.3	0.17	-0.69	-0.37	0.13	0.45	0.78
0.18	-1.36	-0.27	-0.73	0.16	0.81	0.93
0.54	1.15	-0.51	0.5	-0.65	0.98	1.31
0.16	1.16	-0.49	0.51	-0.02	1.16	0.5
0.18	-1.32	-0.29	-0.76	0.21	0.83	0.95
0.64	-1.37	0.82	-0.52	0.75	0.37	0.93
0.4	0.08	-0.63	-0.37	0.05	0.93	0.58
0.37	-0.13	-0.03	0.08	0.77	0.65	1.57
0.17	1.25	0.43	0.24	-0.39	0.3	1.05
0.17	0.84	0.07	0.96	-0.37	0.55	0.73
0.13	0.0	-0.1	-0.32	-0.49	0.46	1.16
0.4	-1.3	-0.24	-0.74	0.06	0.7	0.82
0.14	0.42	-0.91	-0.19	-0.23	0.24	0.34
0.1	0.96	0.58	1.25	0.12	0.47	0.83
0.16	0.04	-0.5	-0.34	-0.06	0.36	1.04
3.01	0.18	-0.22	-1.25	0.1	0.42	1.0
0.49	0.14	-0.2	-1.31	-0.01	0.32	1.1
0.86	0.29	-0.71	-0.63	-0.33	0.22	0.86
2.32	-1.48	0.86	-0.35	0.26	0.35	0.94
0.22	-0.16	0.37	0.29	-0.94	-1.34	0.52
0.18	0.35	-0.01	-1.34	-0.07	0.21	1.27
0.28	-0.34	0.27	0.17	0.53	-1.05	-2.69
0.18	0.17	-0.51	-0.76	0.16	0.3	1.42
0.3	0.38	-0.28	-1.33	1.19	-0.28	-0.38
0.17	-1.18	-0.27	-0.82	-0.87	0.8	2.06
1.17	-0.12	-0.04	0.08	-0.17	0.56	0.94
0.18	0.35	-0.81	-0.52	-0.39	-0.2	1.28
0.11	-1.47	0.85	-0.34	0.18	1.05	0.29
34.38	-1.15	-0.25	-0.9	0.14	0.55	1.23
5.3	-1.17	-0.24	-0.93	-0.5	1.47	0.12
0.54	0.92	0.65	1.73	-1.42	0.57	0.6
0.58	1.11	-0.37	1.07	0.3	0.99	0.94
0.1	-0.09	-0.03	0.04	-0.25	0.38	1.39
0.17	-1.17	-0.2	-0.86	0.12	0.94	0.95
0.24	1.61	0.38	0.46	-0.1	0.64	1.12
0.41	1.47	0.24	0.22	-0.32	0.43	0.85
