Mass	x	y	z	vx	vy	vz
1.23	-1.15	-0.26	-0.91	2.8	-0.56	5.66
0.34	-1.14	-0.22	-0.92	-1.14	1.27	0.57
0.76	0.19	-0.59	-0.8	0.08	0.73	1.45
0.3	0.91	0.7	1.79	0.37	-0.27	0.02
0.35	0.28	-0.07	-1.4	0.04	0.41	1.31
0.19	-1.25	1.0	-0.48	0.63	-0.07	1.02
0.23	0.01	-0.08	-0.3	0.03	0.25	1.21
0.17	1.59	0.33	0.27	0.01	0.47	1.06
0.17	-0.07	-0.05	0.04	0.46	0.48	1.26
0.27	1.18	-0.52	0.6	0.02	0.64	1.05
0.3	1.18	-0.52	0.58	0.05	0.66	1.06
0.25	1.45	0.21	0.32	0.16	0.45	1.11
0.12	1.17	-0.52	0.6	0.54	0.64	1.02
0.81	-0.02	-0.18	0.52	0.36	0.6	0.74
0.36	-0.76	0.42	-0.84	0.33	0.4	1.25
0.19	0.08	-0.62	-0.4	-0.04	0.02	1.29
1.32	-1.47	0.89	-0.31	0.38	0.02	0.87
0.11	0.3	-0.77	-0.54	0.24	0.45	1.28
0.16	1.09	-0.62	0.54	0.26	0.23	1.37
2.38	-1.37	0.74	-0.44	0.42	0.64	1.16
0.17	1.58	0.4	0.42	0.17	0.34	1.22
0.17	0.83	0.46	0.98	0.59	0.49	1.09
0.11	-1.28	-0.17	-0.89	0.88	0.2	1.34
0.11	0.18	0.08	-0.3	-0.02	0.3	1.14
0.28	0.85	0.59	1.77	0.89	2.02	0.07
0.34	0.48	-0.9	-0.4	-0.25	0.47	1.38
0.85	0.46	-0.94	-0.18	-0.0	0.63	1.06
0.11	-1.31	0.76	-0.58	-0.38	0.33	1.67
0.14	-1.27	-0.24	-0.86	0.99	0.41	1.06
0.32	1.25	0.24	0.19	0.07	0.93	1.0
0.13	1.09	-0.66	0.41	0.21	0.24	0.02
0.36	0.84	0.1	0.99	0.16	0.38	1.02
0.44	0.64	0.08	0.74	0.56	0.65	0.87
0.16	-1.38	0.71	-0.43	0.14	1.07	0.59
0.52	0.23	-0.62	-0.79	0.1	0.54	1.08
0.13	1.16	0.45	1.37	0.3	0.08	0.87
2.71	-0.01	-0.52	-1.02	0.41	0.39	0.91
0.12	0.14	-0.56	-0.42	0.14	0.01	0.96
0.65	-1.45	0.83	-0.38	0.03	0.42	1.15
0.2	0.47	-0.84	-0.31	0.21	0.28	0.71
1.43	-1.13	-0.15	-0.92	0.17	-0.47	1.36
0.78	0.79	0.65	1.72	-2.04	-0.04	-0.47
0.16	-1.33	0.87	-0.46	0.83	0.46	0.75
0.13	0.72	-0.36	0.9	0.34	0.59	0.94
0.22	1.47	0.23	0.22	0.07	0.41	1.34
0.19	0.65	0.07	0.74	0.36	0.01	1.08
0.11	0.22	-0.5	-0.71	0.16	-0.02	0.5
0.15	-1.14	-0.1	-0.87	-0.2	-0.26	0.83
0.31	-1.12	-0.12	-0.89	0.15	-0.23	0.84
0.98	-1.13	-0.1	-0.87	0.27	-0.03	1.03
1.05	0.81	0.16	0.75	-0.04	0.39	1.38
0.18	0.85	0.04	0.82	0.16	0.74	0.89
0.19	-0.21	0.26	0.36	0.12	-0.81	-0.16
0.41	0.61	0.59	1.79	0.68	0.54	0.76
0.41	-0.01	-0.32	-1.36	0.16	-0.01	1.13
0.14	-1.34	0.82	-0.52	0.89	0.32	0.44
0.59	-0.68	0.56	-0.85	0.27	0.24	0.99
0.44	-1.17	-0.02	-0.95	0.45	-0.08	1.48
0.26	-1.17	-0.01	-0.96	0.37	0.38	0.96
0.13	0.21	-0.53	-0.74	0.12	0.61	1.38
0.21	0.27	-0.84	-0.48	0.62	1.25	0.86
0.21	0.9	-0.12	0.89	0.41	0.62	1.15
0.34	-0.6	0.26	-1.03	0.66	0.44	0.3
0.11	-1.17	-0.1	-0.83	0.58	0.53	0.8
0.16	-1.18	-0.08	-0.82	0.53	0.53	0.72
0.13	-1.19	-0.05	-0.82	0.73	0.32	1.36
0.83	-1.19	-0.05	-0.81	0.75	0.36	0.85
0.2	0.32	-0.11	-1.31	0.27	0.24	1.1
0.16	0.81	0.13	0.81	0.25	0.09	1.01
0.14	-0.02	-0.01	-0.37	0.02	0.28	1.29
0.13	-0.03	-0.22	-1.32	0.35	0.4	1.1
0.42	-1.15	-0.04	-0.81	0.76	0.15	0.54
0.11	0.96	0.43	0.81	0.03	0.51	1.24
1.85	-1.14	-0.04	-0.81	-0.07	0.22	1.17
0.18	-0.73	0.47	-0.89	0.17	0.47	1.11
0.23	0.81	0.16	0.75	0.83	-0.47	0.37
0.22	0.71	0.38	0.82	0.37	0.37	1.19
0.75	0.93	0.71	1.78	-0.23	-0.53	0.56
2.5	0.26	-0.85	-0.47	0.33	0.44	1.04
1.83	0.23	-0.51	-0.79	0.06	0.16	1.28
0.36	-0.03	-0.12	0.5	0.27	0.61	0.82
0.12	-1.17	-0.0	-0.79	0.43	0.15	0.93
0.25	0.53	-0.8	-0.4	-0.13	0.42	0.75
0.18	-1.17	-0.0	-0.76	0.46	0.62	1.03
0.37	1.25	0.49	0.31	0.29	0.45	0.84
0.23	-1.17	0.0	-0.75	0.19	0.2	0.67
0.36	0.29	-0.75	-0.72	-0.29	0.69	1.03
0.45	0.43	-0.91	-0.2	-0.03	0.7	0.61
0.11	0.12	-0.66	-0.43	-0.21	0.5	0.7
0.13	-1.31	-0.18	-0.73	0.23	0.79	0.1
0.29	-1.31	-0.19	-0.67	0.12	0.72	0.97
0.25	-1.32	-0.18	-0.71	0.06	0.83	1.16
0.38	-0.15	0.38	0.24	-0.55	-1.26	-0.12
0.85	-1.32	-0.19	-0.72	0.25	0.53	0.76
0.22	-1.32	-0.19	-0.71	-0.14	0.88	-1.4
19.94	1.17	-0.22	1.02	-0.99	0.78	-1.27
0.23	1.29	0.54	0.24	-0.28	0.35	0.68
0.13	0.58	0.69	1.96	0.13	0.39	0.42
0.87	-0.16	0.06	0.48	-0.06	0.67	0.34
0.6	0.77	0.44	0.75	-0.06	0.39	0.64
0.32	-1.31	-0.15	-0.73	0.05	0.34	0.64
0.12	-1.33	-0.11	-0.74	0.18	0.4	0.56
0.16	0.4	-0.6	-0.73	-0.32	0.45	0.65
0.1	0.13	-0.67	-0.44	0.03	0.7	0.72
0.81	0.51	0.14	0.72	-0.09	0.6	0.53
0.14	-1.28	-0.15	-0.67	-0.09	0.67	0.33
0.14	1.46	0.32	0.34	-0.44	0.45	0.51
0.28	0.1	-0.13	0.35	-0.28	0.8	0.61
0.23	-0.74	0.25	-1.03	0.14	0.59	0.82
1.09	-1.32	0.96	-0.57	0.23	0.47	0.75
0.19	0.98	0.63	1.2	-0.15	0.42	0.78
0.75	0.06	-0.45	0.22	-0.16	0.71	0.5
0.53	-1.48	0.86	-0.37	0.08	0.41	1.23
0.19	-0.16	0.06	0.5	0.05	0.66	0.25
0.75	0.68	0.18	0.81	0.12	0.28	0.68
0.24	0.95	0.58	0.86	-0.17	0.4	1.01
0.12	0.12	-0.87	-0.39	-0.48	0.35	0.47
0.33	1.47	0.25	0.24	-0.03	0.59	1.36
0.76	1.0	0.58	1.24	-0.14	0.24	0.86
0.12	-1.21	-0.18	-0.56	0.02	0.47	0.87
1.96	0.1	-0.61	-0.39	0.02	0.32	1.03
0.39	-0.03	0.01	0.07	-0.18	0.36	1.3
0.11	-0.06	0.28	0.39	-0.43	0.77	0.77
0.22	0.17	-0.66	-0.89	0.03	0.91	1.16
