Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.14	0.23	-0.02	0.53	1.56	0.65	0.03
0.32	0.28	0.29	1.94	-1.13	-0.55	0.28
0.13	0.36	0.62	0.89	-1.32	0.72	0.42
0.36	0.68	0.63	1.12	-0.51	-1.01	-0.26
0.44	1.05	0.28	1.71	-0.22	-0.37	-0.31
0.16	0.21	-0.4	0.74	1.66	-0.69	0.55
0.52	-0.21	0.18	0.46	-0.22	-0.86	0.16
0.13	0.44	0.66	1.2	-0.2	-0.55	-1.46
2.71	0.29	0.41	0.43	-0.43	-0.04	-0.03
0.12	0.35	0.21	0.78	-0.41	0.09	0.74
0.65	0.04	0.17	0.6	1.43	0.08	0.54
0.2	0.62	1.05	1.64	0.23	1.4	0.26
1.43	0.41	0.12	0.55	2.54	0.57	0.69
0.78	-0.48	-0.24	-0.78	0.2	-0.97	-1.46
0.16	0.12	0.19	0.29	0.41	-0.66	-1.12
0.13	0.34	0.51	0.6	-1.48	-0.47	-0.08
0.22	0.42	0.06	1.48	0.16	-0.4	-0.32
0.19	1.04	0.26	1.7	-0.22	-0.01	-0.42
0.11	0.23	0.19	0.46	-1.2	-1.56	-0.43
0.15	0.08	-0.33	0.68	1.59	0.24	0.19
0.31	0.35	0.26	0.56	1.68	0.14	0.12
0.98	-0.01	1.09	1.1	1.14	-0.02	0.46
1.05	0.3	0.51	0.86	-1.25	-0.31	-0.51
0.18	0.24	0.64	1.04	-0.76	0.16	-0.62
0.19	0.19	-0.94	-0.47	-0.2	-0.37	0.68
0.41	1.92	0.51	1.26	0.37	-0.39	-0.81
0.41	0.77	0.95	1.27	0.66	1.27	1.13
0.14	0.43	0.28	0.73	1.21	-0.58	0.13
0.59	-0.13	0.1	0.51	1.73	0.35	-0.04
0.44	0.94	-0.23	4.36	2.17	-0.58	5.01
0.26	0.24	0.35	0.67	2.07	-1.25	0.79
0.13	-0.15	0.46	0.63	-0.47	-0.27	-0.18
0.21	0.18	0.27	0.51	1.01	0.57	1.2
0.21	-0.03	0.97	0.98	-0.58	0.3	-0.34
0.34	0.94	-0.48	0.76	1.44	0.28	0.77
0.11	1.56	0.38	0.11	1.94	0.87	-0.14
0.16	-1.42	4.73	-0.12	-0.1	3.14	0.45
0.13	-0.55	0.15	2.17	0.84	0.36	1.44
0.83	-0.99	1.41	1.31	0.41	0.91	1.18
0.2	-0.36	-0.09	0.91	-0.04	0.72	0.45
0.16	0.1	0.62	1.13	-0.81	0.06	-0.49
0.14	-0.56	0.41	0.7	0.54	-0.09	-0.43
0.13	-0.37	-0.04	0.65	0.15	0.69	0.6
0.42	0.13	0.1	0.39	-0.65	-1.1	-0.65
0.11	0.41	0.29	2.32	-0.34	-0.15	0.12
1.85	0.27	0.18	0.42	2.96	-2.91	-4.59
0.18	-0.07	-0.25	0.6	0.9	0.05	0.02
0.23	0.15	0.9	0.94	-0.38	0.04	-0.47
0.22	0.93	0.23	1.41	-0.5	-0.28	-0.75
0.75	1.25	0.31	-0.6	-0.26	-0.12	-1.62
2.5	0.05	0.35	0.47	0.02	0.95	1.17
1.83	0.45	0.21	0.54	3.1	-0.19	0.77
0.36	0.92	0.05	0.39	-0.32	-1.01	-0.4
0.12	-0.27	-0.48	1.24	1.18	0.08	0.82
0.25	0.27	-0.08	0.02	0.25	0.39	-0.42
0.18	0.27	0.04	0.46	0.49	-0.04	-0.6
0.37	-0.12	0.08	1.42	-1.43	-0.16	-0.34
0.23	-0.29	-0.48	0.85	1.25	0.45	0.66
0.36	0.19	0.32	0.18	0.03	1.29	0.55
0.45	0.11	0.19	0.39	-0.38	-0.84	-0.89
0.11	-0.01	0.12	0.19	0.54	0.83	0.11
0.13	0.36	0.16	0.33	0.6	-1.73	0.07
0.29	1.14	0.15	0.75	1.24	0.53	-0.05
0.25	-0.05	0.35	0.98	1.56	-0.24	0.84
0.38	-0.28	-0.54	-0.48	0.61	0.47	0.34
0.85	0.34	0.06	0.38	0.92	-0.51	0.6
0.22	0.1	0.04	0.84	1.66	-0.54	0.44
19.94	0.61	0.56	1.05	-1.05	0.35	-1.6
0.23	0.67	-0.11	1.31	-0.32	-0.1	-0.2
0.13	1.04	0.62	1.5	0.01	-0.48	-1.0
0.87	-0.09	-0.25	-0.53	-0.1	-1.63	0.33
0.6	0.05	0.13	1.09	-0.11	-0.25	-0.95
0.32	0.21	0.5	0.85	1.59	-0.12	-0.4
0.12	0.46	0.11	0.21	1.41	-1.48	0.51
0.16	0.42	0.24	0.55	-0.12	0.4	0.63
0.1	-0.02	0.3	0.13	0.27	0.14	-1.55
0.81	1.61	0.65	-1.08	0.51	-0.11	-1.66
0.14	0.93	0.21	0.85	1.0	0.03	0.36
0.14	0.84	0.25	1.34	-0.24	0.29	-0.21
0.28	-0.01	0.22	0.34	1.0	-1.62	0.8
0.23	0.8	-0.49	0.64	1.45	-0.28	0.58
1.09	0.9	-0.4	0.82	2.08	-0.17	0.7
0.19	0.48	0.23	1.58	-0.11	-0.29	-1.02
0.75	-0.36	0.68	0.09	-0.02	-0.53	0.16
0.53	0.25	0.01	0.74	1.46	0.1	1.13
0.19	-0.1	-0.24	-0.53	0.81	-2.34	-0.34
0.75	0.58	0.43	0.84	-1.51	0.32	-1.02
0.24	-0.82	-0.1	1.62	-0.89	-0.48	-0.29
0.12	-0.33	0.52	-0.24	0.0	0.03	0.43
0.33	0.41	0.05	1.48	-0.61	-0.49	0.0
0.76	0.45	0.18	1.57	-0.13	-0.45	-0.81
0.12	-0.09	0.5	1.89	1.17	0.37	1.11
1.96	-0.03	0.36	0.25	-0.42	-0.67	0.13
0.39	0.13	0.09	0.45	1.82	-1.25	0.62
0.11	-0.19	0.02	0.08	0.9	-0.53	0.14
0.22	-0.0	0.08	0.16	0.31	0.71	0.6
