Mass	x	y	z	vx	vy	vz
0.41	0.39	0.0	1.46	-0.61	-0.38	-0.28
1.23	0.42	0.16	0.42	0.06	-0.84	2.17
0.34	0.65	-0.48	-0.3	1.35	0.47	-0.2
0.76	-0.03	0.01	0.76	0.3	-0.71	1.0
0.3	0.27	0.34	-0.18	-1.49	0.11	-0.91
0.35	-0.5	-0.26	0.56	0.39	0.39	0.33
0.19	0.33	-0.0	0.5	0.9	-0.48	0.45
0.23	0.43	0.32	0.09	2.06	-0.01	-0.26
0.17	-0.09	0.01	1.39	-0.89	-0.42	-0.62
0.17	0.01	-0.06	0.43	0.18	-1.78	0.76
0.27	0.01	1.24	0.37	-0.82	-0.34	-0.19
0.3	0.01	1.24	0.37	-0.89	0.19	-0.86
0.25	0.05	-0.08	1.43	-0.74	-0.57	-0.42
0.12	0.51	1.28	0.75	-0.6	0.05	-0.27
0.81	0.91	-0.04	0.35	-0.59	-0.63	-0.39
0.36	0.0	0.08	0.57	1.51	0.58	0.0
0.19	-0.07	0.29	0.25	-0.31	-1.0	-0.24
1.32	0.35	0.09	0.99	1.79	0.23	0.59
0.11	0.3	-0.1	0.09	0.82	-1.59	-1.77
0.16	0.85	1.04	1.93	-0.49	1.1	0.09
2.38	0.36	1.27	0.9	1.45	0.44	0.69
0.17	0.11	0.3	1.86	-1.16	-0.39	-0.22
0.17	1.14	0.02	1.82	-0.39	-0.4	-0.31
0.11	-1.35	1.92	-0.07	0.25	0.94	0.61
0.11	0.22	0.23	0.25	0.87	1.52	-0.5
0.28	-0.1	-0.11	0.12	-1.88	1.24	-1.46
0.34	0.06	-0.01	0.28	0.17	-0.1	1.17
0.85	0.49	0.12	0.85	2.13	-0.22	1.28
0.11	0.75	-0.54	0.43	2.03	-0.65	0.48
0.14	0.39	0.08	0.52	1.62	1.24	-0.22
0.32	0.17	0.23	1.96	-1.11	-0.54	0.17
0.13	0.23	0.68	0.93	-1.19	0.46	0.31
0.36	0.6	0.5	1.05	-1.17	-1.28	-1.08
0.44	1.01	0.25	1.66	-0.28	-0.2	-0.46
0.16	0.38	-0.46	0.79	1.64	-0.5	0.43
0.52	-0.21	0.1	0.47	0.11	-0.75	0.07
0.13	0.43	0.59	1.03	0.02	-0.83	-1.86
2.71	0.24	0.38	0.43	-0.53	-0.54	-0.01
0.12	0.32	0.21	0.84	-0.18	0.0	0.47
0.65	0.19	0.2	0.63	1.5	0.48	0.12
0.2	0.64	1.19	1.67	0.21	1.33	0.18
1.43	0.66	0.19	0.62	2.25	0.75	0.52
0.78	-0.46	-0.34	-0.92	0.3	-0.96	-1.32
0.16	0.17	0.13	0.2	0.52	-0.62	-0.72
0.13	0.18	0.45	0.59	-1.53	-0.83	-0.15
0.22	0.39	0.01	1.45	-0.05	-0.43	-0.32
0.19	1.02	0.23	1.67	-0.31	-0.48	-0.39
0.11	0.17	0.05	0.39	-0.34	-1.23	-0.67
0.15	0.25	-0.29	0.69	1.64	0.48	0.04
0.31	0.51	0.26	0.55	1.42	-0.13	-0.63
0.98	0.11	1.08	1.14	1.19	-0.14	0.38
1.05	0.18	0.46	0.79	-1.09	-0.55	-0.74
0.18	0.17	0.64	0.97	-0.62	-0.03	-0.83
0.19	0.16	-0.96	-0.39	-0.28	-0.13	0.77
0.41	1.95	0.47	1.17	0.3	-0.42	-0.83
0.41	0.83	1.08	1.38	0.59	1.17	1.05
0.14	0.55	0.23	0.73	1.16	-0.43	0.0
0.59	0.06	0.15	0.5	2.03	0.71	-0.14
0.44	1.16	-0.29	4.87	2.16	-0.58	4.99
0.26	0.46	0.21	0.74	2.09	-1.41	0.56
0.13	-0.18	0.42	0.6	-0.2	-0.49	-0.38
0.21	0.28	0.31	0.61	0.94	0.24	0.86
0.21	-0.09	1.0	0.95	-0.5	0.17	-0.42
0.34	1.08	-0.44	0.84	1.34	0.43	0.78
0.11	1.75	0.46	0.1	1.85	0.85	-0.11
0.16	-1.43	5.06	-0.08	-0.1	3.13	0.45
0.13	-0.46	0.19	2.32	0.87	0.36	1.39
0.83	-0.95	1.5	1.43	0.44	0.87	1.16
0.2	-0.35	-0.01	0.95	0.11	0.77	0.18
0.16	0.02	0.62	1.07	-0.68	-0.06	-0.66
0.14	-0.49	0.4	0.65	0.72	-0.15	-0.53
0.13	-0.35	0.03	0.71	0.35	0.74	0.53
0.42	0.07	0.0	0.33	-0.46	-0.89	-0.45
0.11	0.38	0.28	2.33	-0.33	-0.16	0.04
1.85	0.42	0.16	0.41	0.97	-3.42	-4.53
0.18	0.03	-0.24	0.59	1.02	0.25	-0.13
0.23	0.11	0.9	0.89	-0.3	-0.15	-0.55
0.22	0.88	0.2	1.33	-0.61	-0.28	-0.87
0.75	1.22	0.29	-0.77	-0.33	-0.14	-1.57
2.5	0.06	0.43	0.58	0.09	0.6	1.01
1.83	0.74	0.19	0.61	2.63	-0.28	0.73
0.36	0.9	-0.05	0.36	-0.12	-0.96	-0.39
0.12	-0.15	-0.46	1.32	1.23	0.16	0.73
0.25	0.29	-0.04	-0.02	0.09	0.45	-0.34
0.18	0.32	0.09	0.4	0.73	0.94	-0.58
0.37	-0.26	0.07	1.38	-1.35	-0.12	-0.47
0.23	-0.16	-0.43	0.91	1.33	0.57	0.55
0.36	0.19	0.44	0.25	-0.02	1.1	0.89
0.45	0.08	0.11	0.31	-0.18	-0.71	-0.62
0.11	0.05	0.2	0.21	0.62	0.84	0.34
0.13	0.39	0.02	0.38	0.18	-0.98	0.85
0.29	1.25	0.21	0.74	1.07	0.54	-0.05
0.25	0.11	0.32	1.06	1.69	-0.22	0.7
0.38	-0.18	-0.47	-0.4	1.16	0.91	1.41
0.85	0.4	0.07	0.45	0.55	0.71	0.64
0.22	0.28	-0.0	0.87	1.8	-0.33	0.2
19.94	0.54	0.53	0.97	-0.88	0.7	-1.04
0.23	0.64	-0.12	1.29	-0.36	-0.01	-0.31
0.13	1.04	0.57	1.39	-0.08	-0.52	-1.1
0.87	-0.09	-0.45	-0.49	-0.06	-2.25	0.88
0.6	0.05	0.11	0.99	0.02	-0.18	-1.17
0.32	0.38	0.5	0.83	1.63	0.04	-0.14
0.12	0.59	-0.04	0.28	1.15	-1.31	0.77
0.16	0.4	0.28	0.59	-0.3	0.28	0.22
0.1	0.02	0.3	0.0	0.38	-0.1	-1.12
0.81	1.66	0.63	-1.25	0.47	-0.13	-1.63
0.14	1.02	0.21	0.88	0.78	0.03	0.29
0.14	0.81	0.28	1.32	-0.35	0.29	-0.35
0.28	0.1	0.07	0.44	1.26	-1.33	0.98
0.23	0.94	-0.51	0.7	1.33	-0.15	0.51
1.09	1.11	-0.41	0.89	1.97	-0.1	0.63
0.19	0.47	0.2	1.47	-0.14	-0.35	-1.18
0.75	-0.36	0.61	0.11	0.17	-0.71	0.29
0.53	0.4	0.04	0.84	1.48	0.42	0.83
0.19	-0.1	-0.45	-0.48	-0.28	-2.11	0.76
0.75	0.43	0.46	0.75	-1.44	0.09	-0.81
0.24	-0.9	-0.15	1.58	-0.84	-0.47	-0.35
0.12	-0.33	0.51	-0.19	0.09	-0.1	0.54
0.33	0.38	0.01	1.47	0.01	-0.43	-0.32
0.76	0.43	0.14	1.47	-0.12	-0.46	-0.98
0.12	0.03	0.53	2.0	1.21	0.35	1.01
1.96	-0.07	0.28	0.26	0.06	-0.59	0.09
0.39	0.34	-0.01	0.5	2.17	-0.54	0.34
0.11	-0.1	-0.04	0.1	1.0	-0.65	0.25
0.22	0.03	0.16	0.23	0.4	0.77	0.81
