Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.35	0.45	2.29	-0.52	-0.44	-0.13
0.13	0.12	-0.16	0.71	1.54	-0.66	-0.46
0.22	-0.56	0.56	0.21	-0.09	-0.31	-1.31
0.16	-0.15	0.34	-0.04	-0.61	-1.14	-0.43
0.15	-0.53	-0.2	-1.16	0.05	-0.33	-0.64
0.34	0.86	2.04	1.18	-0.15	0.3	-0.56
0.27	-1.55	-0.3	-0.43	-0.37	-0.8	-0.12
0.1	-0.25	0.13	0.66	1.81	-1.31	0.18
0.27	0.16	0.35	1.99	-0.95	-0.6	0.11
0.57	0.37	-0.31	0.24	-0.87	-0.56	-0.14
0.15	-0.05	0.58	1.85	-0.32	-0.37	-0.35
0.11	-0.35	0.77	0.19	-0.42	-0.69	-1.09
0.29	0.67	0.36	0.96	-0.69	-0.46	-0.94
0.35	0.39	-1.23	1.89	0.42	-0.52	0.55
0.15	-0.0	0.29	0.74	1.46	-0.08	0.73
0.14	0.47	0.11	1.51	-0.27	-0.27	-0.78
0.47	0.27	0.47	0.47	2.01	0.45	0.48
1.05	-0.31	0.58	0.12	-0.39	-0.86	-0.85
0.25	0.01	0.34	1.72	-1.23	-0.8	-0.07
0.33	0.1	0.22	1.82	-1.23	-0.77	0.05
0.59	0.1	-0.02	0.51	0.76	-0.66	0.91
0.39	0.13	0.32	0.66	-0.21	0.11	1.31
0.39	0.31	0.33	1.78	-1.31	-0.41	-0.01
1.71	-0.21	0.38	0.25	-0.42	0.02	-0.79
0.1	0.34	0.2	0.4	0.73	-0.02	-1.82
0.18	0.46	0.02	0.48	1.16	0.47	1.47
0.1	0.13	0.32	0.13	0.61	0.2	1.2
0.52	0.34	0.12	1.21	-0.32	-0.24	-0.91
0.22	-0.98	2.13	0.62	-1.28	1.1	-0.56
0.22	0.53	1.6	1.58	-0.38	0.61	-0.09
0.18	-0.08	-0.7	-0.65	-1.66	-0.36	-1.3
0.27	-0.32	0.35	0.18	1.54	-1.13	0.44
0.16	-0.46	-0.06	0.99	0.37	0.35	0.56
0.17	0.17	0.28	0.78	-0.9	-0.38	-1.38
0.35	0.76	0.88	1.68	-0.01	-0.3	-0.86
0.7	0.25	1.07	1.53	-0.22	0.55	-0.3
0.8	0.32	0.02	1.55	-0.25	-0.25	-0.35
0.11	0.16	2.24	1.24	-0.67	1.11	-0.04
1.12	0.25	1.07	1.53	-0.58	-0.13	-0.33
0.3	0.04	0.02	0.02	0.48	-0.71	0.83
0.18	0.52	0.3	0.18	1.56	-1.39	0.19
0.54	0.42	1.27	1.28	-0.6	0.15	-0.36
0.16	0.51	1.16	1.99	-0.96	0.88	0.05
0.18	0.63	-0.2	0.52	1.36	-0.39	1.01
0.64	0.58	-0.03	1.12	2.09	0.37	0.77
0.4	-0.19	0.59	0.34	0.17	0.33	-0.84
0.37	0.24	0.07	0.52	1.89	-1.05	0.87
0.17	0.36	0.02	1.55	-0.64	-0.28	-0.74
0.17	0.47	0.33	0.78	0.21	-1.25	-0.32
0.13	-0.59	0.27	0.1	0.7	-0.9	-0.15
0.4	-0.08	1.03	0.64	1.61	-0.01	0.25
0.14	-0.03	0.35	0.43	0.12	-1.31	-0.28
0.1	0.44	0.12	1.07	-0.36	-0.06	-1.48
0.16	0.03	-1.4	-0.7	-0.93	-1.85	-1.46
3.01	-0.33	-0.03	0.85	0.44	0.6	0.4
0.49	-0.34	-0.02	0.83	0.45	0.54	0.96
0.86	-0.03	0.26	0.57	-0.49	0.64	0.66
2.32	0.35	0.09	0.98	1.89	-0.15	0.13
0.22	0.28	-0.77	-0.3	0.27	0.92	-0.87
0.18	-0.12	0.32	0.76	0.95	1.07	0.25
0.28	-0.01	-0.51	-0.34	-1.14	0.19	0.44
0.18	0.1	0.33	0.13	1.17	-0.42	-0.37
0.3	-1.43	0.08	1.36	-0.37	0.66	1.45
0.17	0.5	0.15	0.79	0.91	0.36	1.28
1.17	0.25	-0.06	0.44	1.96	-0.93	0.53
0.18	0.3	0.25	0.77	1.0	0.52	2.06
0.11	0.4	-0.25	0.32	1.25	-1.27	1.46
34.38	0.42	0.16	0.41	1.3	0.1	0.15
5.3	0.33	0.25	0.41	1.35	0.14	0.26
0.54	-0.64	0.34	0.62	-0.11	-0.63	-1.47
0.58	-0.36	0.02	0.18	-0.34	-1.57	-0.67
0.1	0.31	-0.08	0.64	1.64	-0.99	1.07
0.17	0.59	-0.23	0.7	1.97	-1.69	0.91
0.24	-0.22	0.36	1.47	-1.29	-0.39	-0.43
